,Sort (Service),Inverse (Pub/Sub),Sobel (Pub/Sub),Mnist (Pub/Sub),Sort (Service) RR,Inverse (Pub/Sub) RR,Sobel (Pub/Sub) RR,Mnist (Pub/Sub) RR,,,,,Sort (Service),Inverse (Pub/Sub),Sobel (Pub/Sub),Mnist (Pub/Sub),Sort (Service) RR,Inverse (Pub/Sub) RR,Sobel (Pub/Sub) RR,Mnist (Pub/Sub) RR
,"238,744735717773","11,932373046875","2077,36468315125","62,9007816314697","175,694942474365","12,4435424804688","1005,93161582947","73,5714435577393",,,,,,,,,,,,
,"180,438995361328","16,5750980377197","1902,97484397888","66,6694641113281","134,275197982788","13,4799480438232","1002,1870136261","68,2306289672852",,,,,,,,,,,,
,"122,560501098633","7,03334808349609","1795,62544822693","69,6616172790527","117,069721221924","13,298511505127","1375,26702880859","69,5154666900635",,,,,,,,,,,,
,"632,968664169312","14,1863822937012","1253,90696525574","64,5332336425781","574,791669845581","14,216423034668","993,960857391357","70,5382823944092",,,,,,,,,,,,
,"196,521043777466","11,7220878601074","4321,48432731628","65,624475479126","1329,59008216858","14,153003692627","1022,07660675049","70,9095001220703",,,,,,,,,,,,
,"2008,73184204102","9,99236106872559","1358,99996757507","64,7485256195068","171,002864837646","6,8202018737793","989,740610122681","71,5088844299316",,,,,,,,,,,,
,"728,219509124756","15,6958103179932","1675,68850517273","66,2364959716797","171,029567718506","13,4942531585693","1016,60490036011","82,2112560272217",,,,,,,,,,,,
,"2294,3069934845","23,1106281280518","1796,72503471375","63,6403560638428","134,443521499634","6,7746639251709","1040,94076156616","1442,71183013916",,,,,,,,,,,,
,"783,795118331909","13,4644508361816","1171,23341560364","66,0161972045898","575,591564178467","15,8255100250244","3231,43339157104","484,853267669678",,,,,,,,,,,,
,"2187,655210495","619,772672653198","3132,71379470825","63,706636428833","2009,23275947571","11,918306350708","1473,46758842468","64,2755031585693",,,,,,,,,,,,
,"132,870197296143","64,0559196472168","1202,07810401917","67,183256149292","3056,14042282104","10,9519958496094","1015,18225669861","139,969825744629",,,,,,,,,,,,
,"136,217594146729","69,3764686584473","1673,40350151062","63,6062622070313","289,353132247925","12,115478515625","4156,83841705322","2408,17284584045",,,,,,,,,,,,
,"136,242866516113","52,4771213531494","1797,22213745117","66,9653415679932","154,413223266602","14,4314765930176","1019,24729347229","2902,74357795715",,,,,,,,,,,,
,"133,782386779785","42,172908782959","1682,52015113831","70,3315734863281","132,558584213257","13,6480331420898","1052,87504196167","66,9910907745361",,,,,,,,,,,,
,"137,684106826782","43,0748462677002","1312,30449676514","71,6903209686279","139,440059661865","13,3266448974609","1128,1623840332","71,556568145752",,,,,,,,,,,,
,"138,877153396606","32,4912071228027","1772,98855781555","71,833610534668","137,994766235352","15,1844024658203","1030,25078773499","555,889129638672",,,,,,,,,,,,
,"160,300254821777","25,0928401947021","1199,20325279236","71,2223052978516","131,55722618103","15,9111022949219","1104,68912124634","151,765108108521",,,,,,,,,,,,
,"4986,7889881134","24,8684883117676","1729,736328125","76,2240886688232","141,924858093262","16,1316394805908","1085,52765846252","137,345790863037",,,,,,,,,,,,
,"126,117944717407","11,5225315093994","1782,37771987915","68,683385848999","135,239124298096","14,7006511688232","1372,66898155212","90,2860164642334",,,,,,,,,,,,
,"782,8369140625","23,9431858062744","1851,28307342529","65,3913021087647","131,678104400635","13,4620666503906","1674,47447776794","71,9935894012451",,,,,,,,,,,,
,"2089,35761451721","30,0672054290771","1753,59916687012","63,6823177337647","142,460346221924","12,5637054443359","1404,59132194519","70,5053806304932",,,,,,,,,,,,
,"126,954793930054","13,6654376983643","1315,06037712097","70,04714012146","148,46658706665","13,6549472808838","992,54846572876","72,6611614227295",,,,,,,,,,,,
,"788,184404373169","13,2079124450684","3022,57132530212","71,9521045684814","136,936187744141","14,8539543151855","1007,84873962402","447,080850601196",,,,,,,,,,,,
,"2032,70387649536","14,8389339447021","1681,02669715881","71,9199180603027","161,323308944702","10,371208190918","1375,52404403687","71,7816352844238",,,,,,,,,,,,
,"128,253221511841","18,7056064605713","1261,49249076843","67,6171779632568","1163,83337974548","21,78955078125","1017,87829399109","141,180992126465",,,,,,,,,,,,
,"135,751485824585","8,08334350585938","3046,20170593262","73,7073421478272","2498,73161315918","54,1613101959229","4113,02065849304","121,054887771606",,,,,,,,,,,,
,"149,742603302002","10,9274387359619","1152,52423286438","70,7361698150635","2835,54601669312","51,0947704315186","993,08180809021","928,092479705811",,,,,,,,,,,,
,"135,392665863037","13,974666595459","1716,68648719788","76,3986110687256","148,031711578369","43,0874824523926","2031,44145011902","137,041330337524",,,,,,,,,,,,
,"139,50514793396","13,5021209716797","1652,96649932861","64,7349357604981","136,908769607544","33,5769653320312","1430,42993545532","115,12565612793",,,,,,,,,,,,
,"137,979745864868","12,8016471862793","1254,86063957214","81,3047885894775","248,610734939575","33,9572429656982","1081,43210411072","3130,68032264709",,,,,,,,,,,,
,"144,922971725464","11,627197265625","1177,10995674133","107,553720474243","138,554573059082","12,8939151763916","1005,50150871277","81,9456577301025",,,,,,,,,,,,
,"134,060621261597","11,2817287445068","2155,81607818604","1652,98008918762","637,484550476074","21,4939117431641","1046,08845710754","2984,25221443176",,,,,,,,,,,,
,"154,603242874146","11,6004943847656","1855,57794570923","104,902267456055","2081,94971084595","11,5649700164795","1024,48201179504","2971,56381607056",,,,,,,,,,,,
,"148,650407791138","12,3584270477295","1815,75775146484","2886,77215576172","228,620052337646","11,9078159332275","1009,68480110168","379,871368408203",,,,,,,,,,,,
,"118,789672851563","16,7839527130127","1207,95369148254","88,778018951416","2926,37538909912","15,7482624053955","1045,47500610352","64,070463180542",,,,,,,,,,,,
,"702,282428741455","6,35457038879395","4356,79483413696","2907,56988525391","148,8037109375","15,7246589660645","987,802267074585","68,3412551879883",,,,,,,,,,,,
,"1194,88096237183","15,0439739227295","1728,02448272705","152,120590209961","2374,80974197388","14,7428512573242","4124,10664558411","73,4262466430664",,,,,,,,,,,,
,"2975,47125816345","5,83863258361816","4353,4255027771","2840,10910987854","348,946094512939","13,7302875518799","1031,59046173096","70,6803798675537",,,,,,,,,,,,
,"2475,35514831543","11,7394924163818","1790,68541526794","70,6586837768555","152,4977684021","11,6732120513916","997,127771377564","76,0266780853272",,,,,,,,,,,,
,"122,284412384033","623,727083206177","4296,51737213135","70,4560279846191","138,755321502686","11,1842155456543","4178,52187156677","65,8385753631592",,,,,,,,,,,,
,"152,542352676392","514,648914337158","1188,063621521","72,422981262207","185,931205749512","12,8738880157471","1084,53583717346","70,3444480895996",,,,,,,,,,,,
,"174,108743667603","10,5657577514648","1773,47183227539","81,470251083374","167,122364044189","12,0294094085693","1005,67841529846","69,7498321533203",,,,,,,,,,,,
,"145,342588424683","72,6351737976074","2999,12190437317","70,7004070281982","122,257709503174","11,8980407714844","1139,1589641571","70,2941417694092",,,,,,,,,,,,
,"133,596897125244","6003,6027431488","1729,27951812744","73,2352733612061","512,006282806397","12,2075080871582","1427,72555351257","70,4960823059082",,,,,,,,,,,,
,"143,028497695923","2971,759557724","1753,28707695007","77,3756504058838","1424,64160919189","11,9471549987793","1322,95775413513","73,6308097839356",,,,,,,,,,,,
,"131,327152252197","11,5780830383301","1686,25283241272","70,3153610229492","2826,63536071777","11,4841461181641","1367,49792098999","68,2468414306641",,,,,,,,,,,,
,"2321,68984413147","11,8703842163086","1193,96042823792","75,3188133239746","461,997509002686","11,7251873016357","1364,6354675293","74,7373104095459",,,,,,,,,,,,
,"3050,8713722229","12,9189491271973","3104,39825057983","68,2628154754639","151,625633239746","12,1390819549561","1066,25556945801","70,8663463592529",,,,,,,,,,,,
,"458,081722259522","11,164665222168","1177,79350280762","73,650598526001","2309,33022499084","11,8303298950195","1025,93874931335","71,5761184692383",,,,,,,,,,,,
,"151,298761367798","12,3188495635986","1729,57396507263","70,9948539733887","126,682281494141","6,89363479614258","1020,17331123352","67,9562091827393",,,,,,,,,,,,
,"164,389610290527","11,7897987365723","1224,42817687988","73,7376213073731","146,879434585571","445,632219314575","1047,70684242249","83,3070278167725",,,,,,,,,,,,
,"2203,25922966003","15,0651931762695","1710,56413650513","72,8592872619629","131,16192817688","65,5815601348877","999,617099761963","69,4115161895752",,,,,,,,,,,,
,"2805,09281158447","15,6378746032715","1702,00943946838","76,2560367584229","136,609554290771","69,4766044616699","1051,30434036255","71,8765258789063",,,,,,,,,,,,
,"565,803289413452","11,505126953125","1774,51658248901","69,4561004638672","150,762319564819","52,9448986053467","1001,50108337402","71,1283683776856",,,,,,,,,,,,
