Mnist;
18.4281;
42.507;
982.833;
64.5183;
16.932;
120.804;
17.412;
26.6083;
77.5348;
164.053;
16.768;
24.3466;
17.2091;
81.9967;
18.3599;
339.379;
22.4882;
73.643;
72.9399;
18.1403;
19.5257;
59.3393;
60.2158;
20.3607;
19.3354;
60.771;
55.5157;
16.3249;
19.4305;
16.5747;
71.2445;
65.3247;
18.7068;
78.008;
16.3567;
102.276;
18.4946;
91.5503;
17.1099;
72.7084;
67.4231;
18.5399;
16.5998;
76.7376;
93.662;
16.4713;
77.219;
17.7855;
26.1866;
90.6298;
17.8221;
389.169;
21.0081;
75.3787;
19.644;
884.463;
17.2215;
16.8341;
69.9967;
76.9087;
22.9484;
68.028;
16.6281;
97.3573;
18.471;
98.2082;
16.3642;
18.2034;
16.676;
17.0021;
16.8691;
16.8181;
16.7355;
16.5456;
16.9121;
17.0037;
16.7443;
16.5525;
16.8554;
16.7762;
16.9316;
16.8783;
16.6975;
16.6976;
17.2264;
16.4246;
16.7282;
16.8148;
15.6097;
16.3917;
16.7116;
16.7648;
16.778;
16.3998;
15.9583;
16.2166;
16.7941;
16.9043;
16.9886;
16.4755;
16.8241;
16.7171;
16.5532;
15.8864;
16.2331;
16.8169;
16.5369;
16.6965;
16.0379;
16.6428;
16.2082;
16.7087;
16.8752;
16.931;
16.7639;
16.9094;
16.7243;
16.5917;
15.8433;
15.7613;
15.8498;
16.9977;
16.7013;
16.8654;
16.8514;
16.7248;
17.0108;
16.7838;
16.8445;
16.7923;
17.1157;
16.3453;
16.7301;
16.8385;
16.7951;
16.9556;
16.7307;
16.7679;
16.6558;
16.8054;
17.0787;
16.5432;
16.867;
16.9257;
16.8538;
16.8142;
16.5699;
16.6487;
15.8163;
15.9063;
15.9227;
16.8479;
16.878;
16.8202;
16.7082;
16.9406;
16.6328;
17.0071;
16.8281;
16.8415;
16.5023;
16.5929;
15.9393;
16.0504;
16.6918;
17.0284;
16.4789;
16.4642;
15.8368;
15.7665;
15.9999;
15.8518;
15.9729;
15.8337;
15.8895;
15.8314;
15.6337;
15.9073;
15.7587;
15.8431;
15.7489;
15.8078;
16.1946;
16.479;
15.8063;
16.0288;
16.1512;
16.8354;
16.9105;
17.0298;
16.7918;
16.3168;
16.7093;
16.0654;
15.7426;
16.0032;
16.9967;
16.4011;
16.9931;
16.5855;
16.8156;
16.9361;
16.9577;
16.7855;
16.8352;
16.801;
16.5267;
16.782;
16.7246;
16.9281;
16.7752;
16.786;
16.5722;
16.7842;
16.9906;
24.8105;
