Periodic;
212.384;
232.48;
257.699;
241.668;
258.541;
250.535;
255.537;
249.389;
206.251;
235.817;
250.68;
259.973;
240.963;
353.135;
184.332;
312.155;
265.782;
186.325;
200.614;
375.507;
295.398;
146.192;
227.813;
230.791;
246.946;
250.281;
253.285;
247.255;
250.197;
252.333;
249.42;
302.844;
313.879;
188.463;
335.198;
141.343;
265.507;
212.418;
335.6;
217.037;
279.143;
261.624;
134.254;
327.61;
191.809;
332.285;
151.779;
229.466;
250.229;
255.58;
242.618;
257.392;
241.708;
256.218;
247.863;
297.734;
274.676;
271.286;
237.566;
228.923;
281.157;
247.101;
160.398;
257.453;
251.014;
259.751;
258.529;
312.994;
239.659;
192.743;
230.426;
247.675;
257.164;
244.545;
256.491;
243.603;
248.376;
254.655;
248.986;
349.519;
231.147;
221.911;
340.639;
169.679;
173.992;
256.353;
248.617;
244.855;
253.941;
245.148;
254.023;
422.95;
109.741;
333.874;
272.799;
188.661;
234.213;
288.957;
227.366;
275.384;
257.039;
231.484;
272.985;
207.107;
237.168;
263.387;
293.725;
274.079;
187.351;
167.168;
248.082;
244.161;
256.613;
248.532;
250.322;
487.853;
125.833;
220.809;
168.824;
248.064;
247.069;
248.631;
257.711;
241.759;
260.751;
240.008;
248.985;
292.458;
325.131;
228.426;
272.434;
203.762;
263.026;
169.279;
247.858;
248.832;
249.762;
253.247;
247.57;
332.057;
218.566;
287.445;
222.571;
242.925;
252.349;
305.879;
284.695;
185.211;
166.738;
254.303;
246.497;
272.371;
318.333;
219.71;
232.132;
335.353;
221.127;
265.679;
252.732;
180.973;
326.801;
177.011;
313.322;
221.098;
352.194;
180.399;
518.865;
0.047106;
164.074;
278.75;
279.389;
250.998;
173.675;
289.436;
249.642;
270.871;
247.643;
226.696;
334.159;
128.908;
306.459;
156.283;
254.651;
245.196;
254.261;
244.249;
252.374;
297.599;
287.244;
330.258;
157.905;
312.285;
228.679;
201.478;
234.874;
313.469;
216.364;
287.951;
272.913;
278.432;
166.406;
219.194;
283.93;
250.023;
279.361;
221.179;
287.011;
283.322;
178.362;
251.48;
350.313;
143.644;
242.78;
248.058;
264.299;
326.886;
186.542;
148.426;
277.915;
221.395;
256.347;
240.55;
253.952;
257.068;
335.787;
289.314;
126.634;
244.208;
249.094;
249.478;
249.743;
249.332;
249.635;
250.301;
246.308;
253.255;
275.969;
224.995;
248.129;
250.375;
249.134;
256.243;
244.073;
257.743;
246.036;
248.279;
270.494;
228.676;
264.006;
233.102;
251.589;
252.446;
246.819;
249.862;
247.612;
250.848;
253.406;
246.158;
251.176;
249.024;
313.761;
228.961;
300.475;
230.22;
224.562;
279.405;
238.66;
325.335;
329.935;
304.936;
67.3048;
240.08;
224.755;
199.039;
240.964;
