Sobel;
312.157;
263.126;
300.076;
270.573;
303.446;
334.152;
266.608;
279.845;
264.053;
308.577;
280.933;
359.251;
256.766;
430.123;
301.331;
232.061;
260.206;
295.38;
881.839;
17.608;
282.698;
276.451;
381.06;
315.265;
258.672;
277.963;
267.468;
264.694;
244.397;
283.911;
334.934;
337.972;
403.035;
226.357;
282.085;
515.747;
302.397;
265.238;
266.007;
264.234;
256.105;
273.864;
195.623;
259.571;
208.909;
253.176;
242.406;
252.079;
264.579;
238.884;
221.824;
283.518;
253.019;
278.272;
251.304;
202.602;
356.7;
559.168;
237.781;
304.466;
305.936;
285.168;
196.977;
272.716;
241.287;
290.183;
274.269;
277.437;
258.359;
197.088;
261.457;
238.374;
263.26;
265.206;
282.869;
268.755;
435.74;
268.792;
258.542;
270.071;
219.959;
253.685;
244.537;
279.837;
340.955;
327.361;
284.086;
276.017;
357.704;
304.645;
225.884;
271.107;
276.426;
255.495;
273.668;
88.4965;
267.396;
311.702;
130.27;
262.517;
21.353;
277.199;
262.783;
302.758;
246.009;
279.69;
291.266;
329.135;
377.303;
320.121;
272.188;
250.232;
183.623;
297.959;
355.654;
315.647;
168.967;
305.606;
253.816;
264.956;
244.87;
234.702;
242.355;
987.483;
257.685;
265.04;
236.982;
267;
255.145;
177.815;
353.416;
239.846;
842.097;
375.173;
302.545;
256.706;
96.4384;
397.69;
614.209;
263.061;
320.726;
241.36;
260.808;
874.124;
316.107;
302.472;
157.629;
226.73;
330.435;
687.981;
332.182;
222.245;
370.829;
217.361;
201.804;
315.078;
256.753;
233.1;
295.895;
266.931;
224.246;
312.394;
304.045;
285.952;
284.727;
256.012;
277;
255.949;
282.364;
182.098;
739.516;
251.497;
252.571;
231.607;
264.38;
259.625;
268.054;
479.478;
245.951;
740.1;
238.418;
223.872;
131.968;
257.991;
191.002;
239.607;
300.548;
249.022;
183.645;
366.235;
615.371;
261.611;
741.549;
245.136;
265.441;
180.205;
307.186;
290.348;
285.586;
244.837;
276.871;
378.1;
306.313;
292.778;
914.488;
258.214;
278.128;
276.284;
264.487;
261.573;
191.557;
291.777;
335.078;
276.061;
315.37;
213.072;
276.069;
865.506;
212.438;
236.723;
263.87;
310.637;
210.512;
231.298;
277.015;
249.536;
332.172;
280.89;
280.854;
258.514;
261.41;
257.162;
244.508;
266.222;
256.271;
280.784;
280.518;
276.257;
712.073;
259.484;
294.045;
268.787;
246.287;
309.428;
283.838;
270.029;
311.079;
236.771;
240.033;
185.322;
260.194;
245.698;
241.397;
264.047;
236.625;
902.129;
281.941;
283.5;
246.608;
269.168;
244.173;
258.289;
294.78;
270.819;
847.693;
316.697;
249.882;
281.067;
270.772;
294.355;
254.243;
269.697;
334.941;
291.631;
267.402;
285.384;
267.642;
249.898;
269.568;
271.261;
177.1;
289.426;
256.039;
252.951;
246.372;
170.339;
279.417;
313.426;
251.578;
275.736;
289.445;
213.416;
240.37;
272.629;
347.501;
269.819;
280.956;
286.559;
114.906;
312.341;
239.782;
280.008;
257.507;
259.87;
278.439;
244.941;
192.203;
349.134;
260.294;
295.831;
14.0182;
224.108;
237.864;
610.622;
276.934;
252.907;
259.338;
269.352;
264.854;
273.565;
324.954;
34.7876;
258.93;
273.499;
254.692;
262.107;
249.437;
250.045;
291.587;
309.057;
263.911;
577.497;
242.714;
308.524;
248.486;
268.803;
257.641;
264.616;
277.446;
367.641;
401.513;
269.577;
302.463;
318.399;
256.172;
251.587;
287.194;
230.026;
236.922;
285.596;
273.977;
271.564;
251.697;
264.608;
274.112;
262.212;
382.946;
273.245;
740.878;
248.476;
250.182;
217.78;
299.644;
313.529;
273.745;
441.2;
265.003;
258.54;
249.166;
251.843;
240.994;
220.872;
183.555;
270.432;
256.056;
274.554;
289.266;
286.242;
390.524;
311.802;
262.969;
192.637;
274.813;
258.783;
179.869;
62.6573;
245.117;
269.866;
259.709;
194.775;
239.589;
269.543;
261.278;
276.011;
282.113;
272.219;
346.52;
249.199;
250.387;
278.487;
270.813;
236.265;
233.684;
259.903;
284.746;
267.974;
295.159;
401.722;
148.605;
301.941;
309.333;
227.905;
237.408;
286.947;
282.433;
298.123;
924.669;
245.22;
230.754;
224.322;
243.737;
255.767;
139.215;
307.147;
329.459;
247.526;
274.178;
250.62;
256.518;
190.683;
284.407;
267.928;
280.873;
281.343;
258.234;
239.728;
269.647;
183.031;
247.905;
237.656;
248.46;
267.323;
295.885;
254.984;
239.028;
268.305;
259.884;
308.616;
316.212;
316.929;
262.663;
203.224;
152.139;
253.609;
333.534;
250.461;
258.663;
270.531;
302.982;
291.607;
281.021;
322.192;
144.942;
219.878;
237.634;
257.408;
256.296;
254.994;
229.8;
260.741;
268.35;
393.989;
230.582;
131.557;
381.932;
259.828;
226.686;
304.977;
276.126;
254.702;
182.829;
237.076;
243.334;
240.47;
270.223;
255.688;
497.149;
222.689;
254.107;
261.421;
259.402;
255.296;
233.801;
258.308;
261.37;
298.501;
278.788;
285.249;
385.728;
774.676;
258.527;
272.721;
169.069;
148.053;
281.931;
316.685;
288.636;
285.531;
278.838;
703.997;
248.039;
262.494;
271.947;
187.646;
160.465;
305.743;
277.392;
247.333;
151.391;
219.289;
220.125;
347.57;
221.198;
289.208;
227.953;
246.532;
361.609;
297.546;
377.658;
289.186;
261.795;
563.85;
230.75;
263.283;
241.743;
238.577;
156.53;
121.423;
247.329;
287.419;
268.309;
316.503;
271.437;
231.263;
272.36;
259.644;
254.78;
258.437;
256.423;
236.844;
258.984;
264.164;
304.084;
253.694;
177.164;
261.525;
264.698;
289.805;
254.013;
383.594;
272.986;
292.389;
242.212;
272.438;
397.085;
277.046;
276.817;
302.305;
301.356;
361.401;
242.999;
280.77;
252.207;
252.299;
240.993;
246.118;
149.943;
297.291;
267.947;
255.63;
235.21;
311.986;
256.535;
229.444;
468.599;
138.788;
326.021;
201.993;
315.475;
249.022;
271.78;
260.782;
192.696;
314.07;
251.993;
253.277;
241.609;
276.038;
272.393;
698.573;
278.229;
627.919;
324.105;
255.394;
261.279;
269.312;
263.017;
252.703;
386.209;
224.941;
252.145;
289.716;
308.405;
241.192;
292.411;
283.272;
156.832;
310.124;
234.969;
276.935;
245.062;
265.16;
264.411;
257.839;
304.361;
390.993;
259.871;
323.764;
161.989;
242.268;
264.372;
278.538;
295.447;
239.396;
276.968;
310.052;
801.927;
207.763;
337.447;
234.958;
254.705;
325.744;
263.701;
269.905;
252.118;
282.235;
261.89;
317.588;
260.871;
282.73;
436.784;
285.649;
189.012;
249.135;
273.312;
278.972;
263.552;
257.518;
317.004;
889.229;
305.848;
296.783;
271.336;
239.275;
185.462;
254.222;
282.149;
259.604;
194.443;
240.3;
236.561;
256.613;
373.076;
356.333;
280.271;
245.338;
284.477;
255.045;
274.055;
298.277;
314.626;
300.479;
350.69;
241.076;
265.106;
272.077;
100.741;
282.065;
265.807;
230.783;
226.382;
256.322;
250.417;
245.89;
283.777;
275.082;
275.193;
320.827;
289.329;
266.851;
280.696;
260.846;
264.962;
244.936;
253.202;
257.702;
281.67;
593.105;
291.984;
791.13;
951.899;
226.319;
283.56;
366.479;
236.13;
145.219;
805.735;
243.55;
248.301;
266.883;
250.832;
251.147;
253.838;
260.759;
278.764;
909.297;
277.904;
275.832;
240.43;
246.682;
237.094;
252.954;
249.308;
263.352;
285.558;
271.71;
171.928;
230.54;
266.603;
252.163;
285.065;
279.482;
184.272;
300.583;
264.651;
255.168;
257.162;
253.622;
244.773;
250.73;
264.584;
295.776;
314.28;
244.785;
295.467;
230.366;
298.21;
256.757;
246.368;
132.644;
304.534;
325.903;
249.408;
301.363;
239.677;
266.777;
228.487;
197.048;
254.4;
254.247;
239.101;
265.899;
245.225;
262.073;
261.175;
265.088;
246.515;
253.985;
253.325;
268.041;
243.062;
252.252;
252.165;
240.617;
241.665;
224.237;
264.217;
250.293;
278.314;
275.193;
238.022;
244.241;
204.666;
276.407;
291.62;
242.904;
265.535;
246.683;
238.701;
246.847;
268.559;
301.471;
317.995;
254.208;
281.389;
245.92;
193.749;
262.293;
274.842;
248.64;
264.117;
695.943;
281.231;
268.68;
288.57;
266.431;
348.829;
531.596;
235.587;
223.227;
328.549;
203.014;
281.984;
269.609;
250.586;
280.971;
257.67;
232.678;
281.697;
306.869;
301.079;
205.637;
263.786;
269.279;
319.89;
264.548;
269.285;
143.283;
826.196;
949.328;
315.266;
281.528;
253.428;
242.066;
256.001;
641.038;
328.212;
262.652;
142.116;
338.391;
230.389;
685.057;
262.225;
312.422;
245.476;
305.301;
288.756;
310.436;
302.297;
299.525;
310.295;
292.193;
275.009;
183.879;
251.229;
429.701;
257.278;
292.95;
256.565;
265.37;
294.048;
234.2;
253.805;
288.636;
256.31;
291.912;
280.11;
261.888;
259.357;
267.073;
250.124;
246.2;
285.162;
259.244;
160.408;
294.97;
246.246;
268.352;
261.478;
277.41;
795.942;
252.449;
240.467;
280.479;
320.929;
894.052;
0.808723;
277.841;
252.457;
256.389;
240.689;
365.997;
248.936;
280.308;
240.049;
145.102;
223.635;
326.694;
257.39;
253.274;
277.08;
243.508;
95.1873;
187.345;
234.634;
250.476;
267.589;
283.78;
318.732;
210.449;
264.327;
997.405;
278.251;
251.081;
262.155;
328.112;
260.889;
277.345;
251.065;
255.483;
247.769;
268.325;
315.835;
275.405;
266.266;
380.493;
266.224;
273.108;
309.468;
238.306;
342.507;
280.026;
319.038;
295.719;
258.101;
245.563;
239.118;
259.334;
249.146;
325.541;
293.622;
344.613;
289.045;
269.006;
178.602;
211.503;
226.939;
249.636;
287.43;
246.862;
238.232;
154.598;
200.026;
232.82;
956.435;
280.742;
170.658;
174.35;
301.659;
233.22;
269.869;
254.423;
235.453;
263.033;
222.26;
626.509;
268.27;
261.793;
241.26;
182.068;
288.325;
261.964;
344.883;
145.664;
255.61;
332.697;
284.978;
274.54;
148.206;
337.477;
329.377;
260.255;
250.526;
246.944;
268.928;
949.069;
266.224;
288.644;
264.749;
249.152;
251.131;
411880;
