Inverse;
404.117;
1.73862;
2.55182;
2.85672;
2.43672;
2.38181;
2.48976;
2.41966;
2.33362;
2.74743;
2.3789;
2.51288;
2.5799;
2.34077;
2.64664;
2.11903;
1.65732;
2.48499;
2.43203;
2.73965;
2.38668;
2.42681;
2.45058;
2.43006;
2.65573;
2.33877;
2.45064;
2.55592;
2.67692;
20.2896;
19.8213;
11.0826;
4.34703;
2.43075;
2.4948;
2.41927;
2.65499;
2.54983;
2.44334;
2.65928;
2.39776;
2.6959;
2.84641;
2.38337;
2.30513;
1.59797;
2.56556;
1.58801;
1.39499;
1.67254;
1.58666;
1.56482;
1.69239;
1.68434;
1.69701;
1.46277;
1.8862;
2.37912;
1.59647;
1.62889;
1.72495;
1.48961;
1.7644;
2.70472;
1.93805;
2.70009;
2.44865;
64.885;
2.01518;
2.48443;
51.81;
2.3269;
2.14043;
1.55995;
1.49906;
1.64883;
1.43965;
9.0915;
2.7339;
2.72511;
2.52513;
1.80916;
2.27024;
1.76179;
2.6044;
2.64891;
2.60227;
2.43477;
2.55646;
2.6854;
1.62397;
2.73566;
2.45216;
2.54104;
1.57094;
1.54109;
1.62394;
1.51298;
1.55238;
1.91448;
1.55281;
1.9094;
1.62619;
1.74674;
1.7433;
1.56581;
1.57629;
1.64655;
1.68263;
1.74943;
1.67576;
2.44386;
1.63564;
1.60408;
1.6184;
1.65291;
1.55685;
1.83299;
1.52694;
1.72092;
2.17068;
1.98077;
1.76795;
2.08012;
1.80143;
66.6758;
2.60795;
1.62973;
10.3371;
8.19731;
12.3303;
4.06963;
2.43041;
1.52904;
1.61495;
1.58326;
1.54952;
1.78468;
1.65603;
2.70883;
2.80945;
2.63142;
2.473;
2.93063;
2.5623;
2.84488;
2.80624;
2.64219;
2.31906;
2.81297;
2.71881;
2.56274;
2.66056;
3.57362;
66.5673;
8.73345;
10.6229;
10.5941;
5.71779;
2.26895;
1.89735;
4.24927;
1.9568;
2.97367;
2.44006;
2.46664;
2.71026;
2.90592;
2.54451;
2.82645;
4.42286;
1.71238;
2.85095;
2.44104;
2.73001;
2.88923;
2.49254;
2.91003;
3.09506;
56.8346;
6.84743;
14.1974;
11.185;
3.69494;
3.02537;
2.36124;
2.99893;
2.57218;
2.46079;
2.69837;
2.6181;
2.43662;
2.7713;
2.64625;
2.54868;
2.71918;
2.62188;
2.63744;
2.67234;
2.56444;
3.24989;
2.50137;
2.51107;
3.1119;
2.46956;
66.4659;
2.33645;
9.37575;
9.74578;
25.1239;
968.464;
3.41196;
2.33547;
2.11726;
2.56775;
2.44071;
2.97891;
2.95755;
3.68417;
2.42336;
1.82588;
1.76093;
2.36466;
2.59307;
2.55964;
2.43015;
3.15233;
1.92493;
2.39002;
1.70581;
1.75557;
1.83101;
2.7224;
2.78169;
2.60856;
3.21244;
2.53583;
1.97894;
2.65097;
2.73478;
2.85477;
2.48067;
2.71679;
2.85869;
3.38504;
2.47884;
3.58671;
3.80531;
2.64879;
2.54904;
14.3631;
2.74914;
7.84362;
2.75908;
3.94024;
3.03046;
5.62724;
3.384;
109.46;
2.29449;
8.73883;
10.3907;
9.97133;
2.56115;
2.63922;
2.52498;
2.77148;
2.46071;
2.46955;
2.56347;
2.44044;
2.86233;
2.57586;
2.48832;
2.72818;
2.68403;
2.29404;
2.55822;
2.8757;
2.25826;
2.69286;
2.59853;
2.56999;
2.8082;
3.01608;
63.1371;
2.49127;
6.79801;
12.4398;
22.5606;
543.445;
1.63605;
1.45263;
1.44404;
1.57941;
1.51986;
1.52357;
1.63748;
1.53743;
1.67932;
1.53828;
1.62273;
1.76787;
1.52208;
1.64774;
1.57926;
1.4182;
1.66864;
1.5064;
1.49932;
1.54663;
1.49318;
2.15155;
1.98288;
1.84293;
1.23624;
1.5496;
1.66744;
1.43404;
1.61263;
1.67614;
1.54613;
1.74211;
1.47446;
1.57694;
1.48363;
1.53587;
1.60604;
1.5215;
1.50733;
1.62838;
1.57011;
1.68602;
1.50805;
1.64241;
1.40937;
1.76738;
1.48826;
1.58737;
1.53981;
1.48264;
1.66878;
1.49357;
2.35297;
1.87509;
1.69157;
1.69883;
1.36884;
1.72088;
1.58137;
1.33064;
1.65075;
1.62749;
1.50726;
1.59454;
1.60007;
5.91836;
7.84556;
8.1538;
1.64602;
1.79971;
1.6564;
1.74202;
2.90583;
2.46949;
1.6837;
1.5725;
1.58309;
1.67343;
2.48166;
1.58234;
1.54787;
1.59414;
2.51602;
1.75001;
1.70605;
1.53157;
1.59639;
1.72708;
2.57436;
2.57871;
2.80362;
2.61743;
2.48111;
1.97198;
2.5931;
2.33161;
2.67769;
2.52615;
2.81402;
2.68082;
54.494;
60.9975;
2.54311;
1.4211;
1.60334;
1.64901;
1.55093;
1.4687;
9.27972;
1.62422;
1.53531;
9.83498;
1.94307;
2.87475;
1.40754;
1.57377;
1.63963;
1.56656;
1.58627;
1.59428;
1.48778;
1.68436;
1.44281;
1.90984;
2.53646;
1.48409;
1.46035;
1.64538;
1.63795;
1.53836;
1.51042;
1.60627;
1.48411;
1.86326;
1.38747;
1.6226;
1.57411;
1.55262;
1.60671;
1.61532;
1.57967;
1.54466;
1.68297;
1.48403;
2.11377;
2.17839;
1.6945;
2.61361;
2.75156;
71.2051;
8.44726;
8.25486;
4.90434;
2.51883;
1.71529;
1.53975;
1.76581;
1.59591;
1.74456;
2.55047;
1.8036;
2.72314;
2.48976;
1.56649;
1.55004;
1.58936;
1.53303;
1.64918;
1.59738;
1.66093;
1.51515;
2.2019;
2.12672;
1.87179;
2.2898;
1.69233;
1.67949;
1.69344;
2.32405;
1.5776;
1.70024;
1.66335;
1.48539;
1.47223;
1.65566;
1.50596;
1.68545;
1.4589;
1.91692;
1.76463;
62.9476;
71.748;
18.1893;
11.3636;
3.60351;
3.71325;
8.70443;
1.90875;
2.13883;
3.249;
3.40197;
2.86891;
2.64198;
1.65608;
1.7149;
1.58001;
2.28465;
3.83987;
2.20594;
2.68221;
1.98607;
1.56186;
1.77239;
2.33514;
1.94777;
1.71701;
1.47895;
1.66166;
1.56904;
1.66403;
1.67499;
1.79844;
2.63592;
2.34967;
1.59547;
3.36273;
2.09498;
1.79285;
2.61857;
1.48362;
1.59302;
1.75204;
1.75546;
1.65849;
1.77561;
1.7964;
1.74221;
1.67192;
1.71297;
2.31109;
2.57511;
1.73392;
1.93273;
2.56189;
1.73359;
1.65192;
1.62451;
1.93939;
2.4395;
1.6017;
1.5995;
5.97933;
1.86245;
2.69933;
95.8154;
13.2001;
7.57482;
8.25229;
2.69951;
2.81594;
1.75275;
2.58444;
2.56248;
2.9303;
2.57804;
2.29641;
2.10269;
1.55302;
1.69971;
1.60489;
1.59134;
1.66564;
1.55543;
1.83498;
1.88302;
2.5019;
2.01882;
1.39995;
1.71415;
1.65343;
1.59475;
1.61668;
1.71835;
1.58042;
2.60227;
2.10685;
1.74719;
1.67557;
1.73068;
3.32026;
2.69626;
74.6893;
8.75166;
10.2489;
2.54824;
1.90906;
3.10898;
2.34453;
2.954;
2.62854;
2.61568;
2.89108;
3.13082;
1.92545;
1.78168;
1.74253;
2.65523;
2.63717;
2.98663;
2.71227;
2.77142;
2.64688;
2.69459;
2.76305;
2.83406;
2.67385;
2.60598;
2.91516;
2.58081;
2.49144;
3.10982;
2.71155;
2.23426;
1.97517;
2.61805;
2.71443;
2.69361;
2.80524;
2.42666;
3.00837;
2.58605;
2.79901;
2.44789;
3.06765;
2.34512;
2.38826;
2.06448;
2.81076;
2.62867;
2.5853;
3.88737;
2.93907;
2.72103;
79.8287;
165.784;
88.5713;
4.3221;
9.95002;
11.2044;
5.19276;
1.61833;
1.97799;
3.16558;
2.18221;
4.72391;
2.25332;
2.29129;
1.6282;
1.662;
1.81076;
2.64829;
1.60014;
1.68221;
2.61816;
2.12554;
2.46486;
1.62479;
1.60885;
1.66649;
1.58308;
1.75415;
1.78811;
1.93166;
2.3441;
1.7194;
1.63479;
1.65228;
1.83655;
1.71313;
1.79558;
2.88813;
2.71303;
2.5641;
2.95765;
60.7292;
4.68388;
55.0031;
1.87638;
2.47659;
1.54666;
1.65035;
1.60242;
11.3183;
5.48993;
7.37941;
1.99471;
1.85929;
2.05999;
2.70243;
2.58154;
1.78831;
1.65495;
1.62881;
2.11026;
2.59012;
2.89566;
2.17535;
1.68927;
1.78041;
1.65581;
1.7536;
1.5622;
1.6789;
1.72241;
1.8337;
2.64243;
1.66998;
1.76957;
1.65829;
1.62138;
2.97865;
1.66436;
1.64151;
1.89969;
2.47459;
1.75727;
1.71382;
1.65049;
1.69453;
1.7451;
2.0475;
65.1909;
11.3338;
7.65321;
11.3086;
1.66165;
3.00614;
2.47297;
1.73953;
1.62844;
1.74537;
1.93624;
1.64458;
1.72105;
1.69192;
2.00443;
2.55252;
2.52162;
1.63782;
1.68658;
1.71054;
1.69117;
1.65245;
1.84587;
1.97143;
2.47044;
1.60449;
1.6364;
1.74969;
1.75059;
1.70691;
1.89953;
2.78552;
2.503;
1.64082;
2.20984;
68.2376;
11.1068;
7.3249;
8.61244;
3.26113;
3.11451;
2.67069;
2.09902;
2.46006;
1.67842;
1.68806;
1.64074;
1.67885;
2.4125;
2.09743;
1.65322;
1.65617;
1.71929;
1.6351;
1.72232;
2.13773;
1.77964;
2.54872;
1.99145;
2.75525;
1.78167;
1.66129;
1.59487;
2.01633;
1.6212;
1.86089;
2.62892;
1.78754;
1.91827;
2.87778;
2.48808;
2.82275;
63.2114;
12.808;
7.84582;
10.4109;
5.02231;
2.37063;
1.83481;
2.68112;
1.76727;
2.70304;
1.67457;
3.16427;
2.25126;
1.77393;
2.92836;
2.53656;
2.64984;
3.55343;
2.22127;
2.66995;
2.63645;
2.9428;
2.67973;
3.57051;
3.26569;
65.8694;
10.9774;
9.21675;
10.865;
4.22871;
2.77673;
2.67658;
2.68678;
2.93973;
2.61325;
2.61965;
2.76289;
2.68412;
2.66136;
3.27085;
2.26631;
1.66016;
1.6661;
1.69682;
1.75511;
1.57614;
1.80804;
1.93596;
3.07293;
2.25778;
1.99757;
1.73121;
1.65249;
1.70274;
1.5867;
1.81181;
2.757;
3.08971;
64.0881;
11.5401;
7.55039;
11.6829;
3.16494;
2.05772;
1.93518;
2.7605;
2.58199;
3.00185;
2.3939;
3.39884;
2.23602;
2.67554;
2.44273;
2.67215;
2.70475;
3.34158;
2.38483;
2.47749;
2.9797;
2.56688;
2.68998;
2.90813;
3.09271;
66.6114;
3.71794;
10.0709;
6.52298;
10.124;
3.84014;
1.99908;
2.77813;
3.01271;
2.52309;
2.7452;
2.89143;
2.42638;
1.82361;
1.6876;
2.57958;
2.22521;
2.4955;
1.79888;
1.5746;
1.73557;
1.60394;
1.74169;
1.64492;
3.06032;
2.62643;
2.75206;
2.88777;
2.6529;
2.80596;
3.01335;
2.65343;
3.03376;
66.3755;
9.26464;
12.3708;
17.0681;
5.91488;
2.65791;
2.65904;
2.44231;
2.84122;
2.26094;
1.5505;
1.69236;
1.57656;
1.54813;
1.8198;
2.45563;
1.89933;
2.3646;
1.62995;
1.6065;
1.59072;
1.62831;
2.64228;
2.6389;
2.54072;
2.60019;
2.57028;
2.63145;
