Mnist;
299.228;
193.916;
305.893;
192.158;
305.367;
191.817;
315.53;
274.467;
418.85;
267.963;
324.581;
410.639;
181.344;
308.868;
154.216;
304.377;
162.864;
620.816;
233.528;
313.846;
198.089;
307.393;
153.117;
308.638;
238.552;
305.96;
203.654;
306.414;
250.837;
304.166;
235.469;
308.6;
171.317;
305.201;
209.126;
317.117;
311.985;
91.8299;
307.175;
310.406;
311.348;
229.923;
323.819;
206.5;
306.997;
240.126;
315.029;
311.821;
310.023;
310.21;
366.397;
359.485;
453.843;
316.934;
317.252;
94.4403;
313.818;
91.7355;
307.059;
310.201;
313.763;
433.306;
307.875;
308.445;
309.083;
314.997;
313.208;
308.395;
308.427;
310.111;
309.984;
310.24;
310.059;
331.733;
314.829;
92.6152;
311.185;
307.963;
91.0552;
306.131;
310.214;
311.852;
245.531;
307.841;
238.862;
307.591;
270.898;
315.072;
222.687;
241.439;
154.784;
305.959;
220.802;
342.097;
254.42;
306.459;
213.373;
336.809;
212.695;
310.16;
196.046;
305.36;
206.455;
312.47;
180.499;
306.993;
310.065;
309.772;
92.1073;
311.965;
94.7373;
312.298;
309.362;
309.836;
312.958;
331.752;
470.981;
219.86;
310.547;
222.723;
311.418;
313.852;
309.37;
309.128;
310.275;
309.808;
195.209;
305.389;
207.279;
306.58;
279.058;
314.384;
185.302;
305.915;
220.556;
306.808;
221.738;
311.852;
250.285;
306.377;
204.8;
313.169;
301.273;
381.406;
494.036;
222.588;
304.769;
187.813;
306.83;
187.428;
306.497;
210.352;
313.042;
264.979;
306.999;
471.254;
310.62;
311.349;
441.018;
215.462;
309.645;
208.66;
313.971;
207.06;
306.592;
168.979;
33.0803;
188.757;
306.793;
199.733;
314.273;
268.345;
306.638;
200.63;
366.454;
160.046;
822.791;
203.889;
322.629;
173.336;
309.476;
191.62;
306.406;
208.422;
307.096;
262.299;
317.196;
192.605;
303.867;
213.848;
310.11;
236.472;
307.399;
187.834;
316.993;
262.672;
306.528;
252.859;
306.309;
217.278;
315.919;
250.352;
310.191;
202.837;
317.832;
231.124;
305.339;
214.247;
307.178;
92.0512;
318.84;
309.375;
309.543;
312.101;
313.996;
309.071;
309.224;
309.186;
306.196;
313.417;
308.973;
363.058;
327.384;
318.619;
357.549;
91.6626;
305.757;
309.032;
312.298;
310.597;
232.839;
304.902;
309.311;
311.97;
315.137;
309.063;
310.363;
310.087;
306.786;
92.2878;
310.891;
205.743;
306.499;
192.608;
306.895;
189.69;
307.12;
309.159;
309.673;
309.658;
310.073;
310.032;
189.174;
305.329;
156.023;
312.909;
197.952;
306.695;
193.293;
306.591;
230.08;
304.854;
236.449;
306.236;
218.744;
307.1;
215.256;
320.426;
249.098;
359.948;
259.232;
355.653;
331.555;
309.88;
309.219;
187.851;
306.893;
399.378;
112.513;
349.266;
217.331;
305.527;
309.855;
312.16;
309.406;
314.256;
159.082;
305.846;
216.89;
313.225;
195.03;
306.702;
169.071;
81.81;
310.46;
309.803;
315.33;
311.56;
310.135;
310.542;
310.872;
310.428;
311.46;
309.697;
403.739;
224.58;
313.259;
208.437;
306.792;
169.287;
305.334;
203.911;
372.153;
182.011;
412.851;
216.554;
316.409;
175.005;
311.378;
222.949;
306.091;
194.974;
306.399;
198.288;
306.06;
249.744;
305.79;
202.767;
313.788;
201.702;
317.706;
245.9;
308.048;
115.229;
305.199;
119.067;
302.596;
215.059;
321.414;
183.841;
306.71;
186.101;
305.36;
199.11;
307.701;
310.62;
306.839;
311.265;
310.658;
310.192;
330.173;
198.922;
313.603;
197.757;
304.265;
220.3;
306.914;
173.214;
372.526;
220.413;
329.088;
250.886;
308.433;
131.628;
295.678;
208.995;
306.586;
203.947;
309.863;
207.13;
307.184;
218.266;
313.464;
313.563;
184.25;
312.622;
215.263;
305.673;
221.582;
305.976;
186.815;
307.33;
208.283;
303.791;
231.224;
314.207;
315.215;
310.327;
308.431;
308.689;
305.931;
309.38;
309.643;
310.157;
91.1977;
312.267;
215.889;
309.832;
310.826;
310.279;
310.432;
310.551;
307.315;
311.039;
306.262;
325.712;
513.947;
199.69;
412.428;
206.8;
177.199;
309.383;
432.084;
222.586;
303.919;
160.321;
