Sort;
64.3581;
51.6528;
50.2585;
50.6105;
53.0237;
48.7821;
51.2536;
49.2003;
50.6237;
51.131;
57.6516;
45.1132;
48.4767;
50.6407;
52.4432;
46.745;
49.8981;
49.5224;
50.399;
50.2454;
51.1449;
49.6707;
49.5922;
42.9322;
56.242;
43.2018;
42.7878;
47.6132;
43.102;
47.5428;
43.0529;
51.2285;
50.3951;
46.8715;
50.8444;
98.835;
44.707;
64.3757;
158.234;
101.644;
74.4085;
109.741;
76.9378;
50.9139;
57.1767;
70.3521;
172.2;
121.866;
103.954;
51.1192;
107.546;
99.4728;
61.1317;
47.3199;
121.612;
116.662;
81.9502;
46.9464;
48.4753;
99.7583;
49.0595;
57.7201;
50.9553;
103.626;
55.786;
839.268;
46.103;
43.3652;
50.6376;
111.845;
54.6281;
49.7322;
114.777;
54.1261;
48.027;
49.3889;
118.354;
91.0902;
46.1941;
52.3163;
53.8945;
105.183;
53.1966;
845.203;
49.333;
50.4465;
124.727;
78.8618;
46.0393;
47.5624;
50.8508;
72.194;
51.8839;
63.1319;
114.182;
57.8391;
45.4652;
121.488;
53.6911;
47.0416;
121.675;
53.2142;
50.8106;
49.6082;
109.9;
54.4138;
48.0211;
151.713;
103.86;
124.228;
46.5894;
132.02;
791.558;
74.4937;
49.8543;
44.3505;
51.1464;
99.9768;
47.4931;
49.4487;
42.9238;
103.638;
50.0507;
423.661;
52.7921;
44.3525;
118.088;
59.2736;
45.9991;
126.656;
91.2704;
436.039;
70.434;
52.6401;
48.0239;
49.0832;
47.528;
103.068;
51.2841;
47.6493;
48.4251;
46.7296;
153.235;
51.7115;
98.7358;
151.068;
88.5619;
47.7722;
50.1901;
44.1533;
52.0082;
45.0908;
55.8752;
51.3235;
45.0355;
50.8888;
45.6906;
50.3968;
50.5533;
47.718;
46.5371;
47.7948;
51.0944;
48.1918;
45.1062;
50.0362;
46.8145;
52.0808;
54.4772;
45.6809;
50.1141;
47.2101;
53.3139;
60.4755;
52.0766;
47.4191;
49.1299;
46.0245;
51.4671;
49.5551;
72.6675;
44.8945;
49.9551;
109.85;
52.8946;
50.2063;
50.4245;
51.973;
46.8928;
50.2362;
46.4125;
49.1824;
49.8227;
46.9366;
52.5664;
51.2081;
51.711;
51.2777;
45.3808;
49.9873;
68.246;
51.2919;
49.6657;
45.092;
50.1803;
57.4008;
49.031;
50.016;
47.0492;
49.5978;
57.6444;
51.578;
46.6536;
50.8723;
46.9168;
50.7159;
47.3529;
48.2583;
49.6856;
52.9251;
46.2382;
45.4415;
49.9496;
47.0098;
49.8149;
52.3845;
51.2634;
46.662;
50.3298;
58.088;
48.4885;
50.4454;
46.7257;
50.6734;
80.5467;
51.3159;
48.4611;
48.1125;
52.853;
50.1152;
96.2344;
51.5151;
60.2271;
108.915;
50.6731;
49.697;
130.104;
74.2314;
49.8934;
49.8909;
92.0219;
50.042;
47.3171;
43.2292;
100.8;
48.8257;
60.079;
116.265;
48.9271;
49.7076;
53.9322;
92.8882;
84.1052;
51.7372;
49.2579;
101.223;
53.933;
47.8979;
50.8667;
48.9698;
49.6071;
50.6346;
49.9976;
61.2214;
52.3918;
48.056;
50.1912;
57.3754;
54.9097;
49.4012;
44.954;
50.3088;
49.1196;
48.4295;
51.9437;
