Sort;
3.96379;
3.55063;
2.29442;
2.47986;
2.6727;
2.50332;
3.06402;
2.1859;
2.6256;
2.70287;
2.68959;
2.70432;
2.17275;
2.60027;
2.54752;
2.71939;
2.60511;
2.62547;
2.56937;
2.52457;
2.47104;
2.7219;
2.45097;
2.69861;
2.65688;
2.48452;
2.60758;
2.57154;
2.68604;
2.36163;
2.91242;
3.31159;
2.92523;
2.55287;
2.71137;
2.77015;
2.38195;
2.64012;
2.4684;
2.68467;
2.70432;
2.45283;
2.39976;
2.59103;
2.66894;
2.52695;
2.83418;
2.47819;
2.69154;
2.60122;
2.63399;
2.33905;
2.82459;
2.54263;
2.68317;
2.51867;
2.50738;
2.46563;
2.69864;
3.05667;
2.0899;
2.76338;
2.49751;
2.76887;
2.45865;
2.51617;
2.61192;
2.68026;
2.557;
2.56043;
2.58821;
2.6385;
2.52344;
2.68005;
2.74775;
2.46696;
2.61101;
2.55686;
2.78886;
2.41017;
2.66211;
2.51905;
3.73552;
2.67334;
2.62824;
2.44295;
2.65961;
2.6079;
2.52361;
2.77762;
2.38478;
2.74897;
2.67726;
2.67541;
2.43984;
2.59857;
2.29728;
2.71302;
2.3994;
2.77783;
2.41994;
2.7037;
2.48665;
2.66795;
2.77694;
2.47103;
2.62976;
2.56215;
2.61678;
2.60531;
2.73691;
2.36111;
2.6292;
2.67609;
2.50027;
2.60821;
2.59435;
2.54673;
2.7126;
2.56287;
2.42785;
2.68563;
2.523;
2.76597;
2.44126;
2.76967;
2.41767;
2.70346;
2.62801;
2.50859;
2.75063;
2.40966;
2.66908;
2.55464;
2.71422;
7.75474;
2.61583;
2.5483;
2.5375;
2.56199;
2.60037;
2.72736;
2.73712;
2.39034;
2.51788;
2.74549;
2.55524;
2.74173;
2.43869;
2.6083;
2.75182;
2.49728;
2.63603;
2.64275;
2.63495;
2.46285;
2.70826;
2.4671;
2.74267;
2.46327;
2.65516;
2.59533;
2.76132;
2.58297;
2.52635;
2.56857;
6.90741;
3.68427;
9.72711;
5.06616;
4.35832;
2.84201;
3.3074;
2.97153;
3.74599;
2.46694;
3.734;
3.65264;
2.77676;
4.03176;
3.15449;
2.80687;
2.47697;
2.73384;
2.37954;
2.61133;
2.57095;
2.67372;
2.83482;
2.6581;
2.43267;
2.48381;
2.91256;
2.35904;
2.59067;
2.45698;
2.668;
2.50132;
2.71414;
2.38304;
2.70541;
2.43496;
2.6807;
2.55422;
2.70325;
2.40679;
2.69898;
4.12469;
2.19573;
2.68969;
2.46695;
5.63191;
3.30235;
2.65332;
2.52711;
2.63755;
9.60456;
3.17188;
2.65069;
2.65259;
2.42749;
2.6356;
2.5164;
2.62361;
2.55153;
2.69219;
2.55505;
2.58803;
2.59262;
2.54752;
2.73229;
2.58426;
2.68257;
2.46811;
2.7072;
2.51796;
2.60067;
2.88018;
2.31742;
2.63929;
2.65491;
2.60043;
2.62754;
2.57643;
2.72464;
2.57379;
2.47785;
2.77312;
2.57209;
2.48472;
2.70195;
2.54749;
2.76125;
2.60918;
2.40647;
2.7052;
2.53273;
2.41641;
2.59253;
2.62551;
2.61901;
2.71907;
2.41629;
2.58574;
2.54435;
2.65937;
2.49122;
2.85749;
2.54974;
2.49611;
2.48033;
2.72411;
2.4327;
2.68092;
2.49166;
2.58917;
2.77514;
2.43235;
2.72321;
2.4534;
2.72547;
2.37404;
2.76609;
2.55799;
2.45314;
2.72677;
2.46951;
2.6086;
2.6208;
2.54885;
2.56122;
2.49459;
2.66782;
2.59684;
2.59272;
2.76415;
2.42185;
3.02373;
2.38463;
2.52211;
2.60788;
2.70888;
2.65237;
2.59571;
2.56237;
2.69031;
2.58541;
2.84128;
2.49131;
2.83666;
4.80656;
2.49292;
2.7927;
2.46115;
2.73421;
2.57268;
2.77338;
2.5242;
2.6344;
2.50754;
2.79511;
3.00202;
2.238;
2.69763;
2.65912;
2.59887;
2.60107;
2.61755;
2.59647;
2.66625;
2.48646;
2.70043;
2.48816;
2.58379;
2.72284;
2.5303;
2.69384;
2.50719;
2.63247;
2.48923;
2.67442;
2.5772;
2.63313;
2.43381;
2.72992;
2.84614;
2.47463;
2.59388;
2.59867;
2.5275;
2.64356;
2.60411;
2.5936;
2.57433;
2.54503;
2.64251;
2.58989;
2.94297;
2.26897;
2.64481;
2.52612;
2.56168;
2.56921;
2.5506;
2.71454;
2.48102;
2.56716;
2.68537;
2.65629;
2.49952;
2.72624;
2.29435;
2.89859;
2.2839;
2.64552;
2.60225;
2.62859;
2.40484;
2.69404;
2.53881;
2.58532;
2.88443;
2.28322;
2.74164;
2.43248;
2.66476;
2.6179;
2.57235;
2.52466;
2.72384;
2.5073;
2.607;
2.65998;
2.67932;
2.37859;
2.67272;
2.62305;
2.54309;
2.60211;
2.57309;
2.64342;
2.58526;
2.60643;
2.59866;
2.68507;
2.97633;
2.2792;
2.65366;
2.62643;
2.53971;
2.83175;
2.45945;
2.68644;
2.57526;
2.50675;
2.63517;
2.55891;
2.76317;
2.41521;
2.7066;
2.53159;
2.48663;
2.64475;
2.65638;
2.55538;
2.55345;
2.61018;
2.52644;
2.61376;
2.79995;
2.36975;
2.64298;
2.55659;
2.5481;
2.60344;
2.76403;
2.48026;
2.4739;
2.69453;
2.65968;
2.45442;
2.75116;
2.50556;
2.6279;
2.66294;
2.49325;
2.63658;
2.74787;
2.4529;
2.60465;
2.58472;
2.74263;
2.49122;
3.53835;
2.89906;
2.41414;
2.65233;
2.62391;
2.5922;
2.5255;
2.66239;
2.62645;
2.65699;
2.62005;
2.71999;
2.41816;
2.60298;
2.54359;
2.62136;
2.73501;
2.4778;
2.60823;
2.65752;
2.50609;
2.55476;
2.82256;
2.46478;
2.61592;
2.57663;
2.46673;
2.75981;
2.62219;
2.50911;
2.63652;
2.69739;
2.41074;
2.71376;
2.56051;
2.88266;
2.24566;
2.74497;
2.40964;
2.6764;
2.46871;
2.5038;
2.54896;
2.6802;
2.53041;
2.66008;
2.60676;
2.88136;
2.34477;
2.44928;
2.72433;
2.56846;
2.68498;
2.48662;
2.65555;
2.51211;
2.58526;
2.63325;
2.61446;
2.55981;
2.74109;
2.71378;
2.47096;
2.48618;
2.59987;
2.56826;
2.6059;
2.62003;
2.50463;
2.66904;
2.60813;
2.83579;
2.46885;
2.57444;
2.8816;
2.42709;
2.8521;
2.42132;
2.82856;
2.53233;
2.42852;
2.62731;
2.63395;
2.77263;
