Periodic;
692.845;
246.875;
249.898;
250.285;
249.841;
249.502;
249.989;
251.933;
410.246;
180.089;
208.192;
251.73;
236.264;
250.147;
249.912;
251.018;
247.547;
264.562;
237.521;
249.198;
250.805;
249.039;
252.364;
247.081;
249.519;
249.477;
250.293;
262.811;
241.314;
257.782;
237.784;
260.952;
246.006;
244.252;
276.268;
221.327;
250.8;
260.627;
239.273;
258.779;
240.494;
250.602;
248.992;
249.995;
466.684;
34.9564;
281.467;
267.977;
228.743;
264.348;
260.992;
289.077;
129.751;
287.622;
363.818;
157.365;
223.518;
288.321;
237.767;
304.74;
165.387;
246.586;
249.49;
249.622;
249.375;
250.619;
259.231;
244.754;
246.487;
286.432;
224.6;
303.069;
168.925;
375.428;
110.207;
315.815;
175.507;
250.234;
249.577;
250.166;
291.533;
247.208;
319.964;
202.55;
227.222;
250.082;
249.045;
250.802;
249.665;
258.992;
241.025;
248.687;
295.893;
210.233;
330.241;
125.278;
289.624;
248.361;
260.343;
238.875;
257.036;
242.933;
258.534;
241.67;
282.075;
245.32;
230.863;
244.935;
246.523;
249.138;
256.611;
244.146;
249.754;
249.463;
259.15;
242.789;
254.404;
276.693;
228.384;
285.968;
231.747;
272.631;
175.515;
321.181;
173.086;
284.036;
284.366;
169.976;
332.033;
207.984;
287.985;
288.127;
179.146;
242.685;
255.825;
327.471;
171.763;
281.61;
247.582;
261.915;
204.695;
280.146;
244.681;
223.804;
269.561;
231.857;
287.12;
250.864;
209.5;
258.519;
241.378;
257.627;
242.305;
290.54;
247.92;
223.196;
316.021;
133.579;
348.614;
151.067;
299.706;
201.636;
280.806;
217.09;
382.916;
254.563;
216.888;
241.984;
199.714;
243.97;
248.863;
289.805;
244.642;
330.302;
110.066;
311.061;
251.507;
236.192;
236.472;
240.314;
423.061;
88.88;
236.046;
248.905;
259.462;
243.474;
246.312;
250.528;
211.348;
404.761;
105.169;
301.332;
243.984;
195.12;
249.798;
249.755;
249.559;
249.701;
249.868;
249.918;
249.842;
328.388;
258.277;
195.467;
219.935;
281.64;
250.158;
309.685;
149.859;
248.947;
250.091;
249.807;
249.719;
309.421;
253.52;
302.233;
134.765;
347.723;
170.058;
232.823;
249.611;
249.861;
250.114;
249.57;
249.106;
386.697;
195.993;
203.648;
417.194;
47.4363;
300.368;
238.426;
240.169;
262.793;
322.792;
181.853;
265.206;
201.109;
278.153;
208.315;
391.965;
207.056;
222.01;
205.263;
219.76;
368.358;
133.799;
330.637;
215.565;
212.169;
308.394;
215.94;
282.162;
245.808;
222.691;
258.649;
288.807;
310.185;
108.257;
306.901;
272.505;
164.771;
250.098;
249.936;
249.673;
250.03;
249.832;
249.832;
249.936;
249.736;
249.999;
249.667;
249.97;
312.112;
187.638;
249.465;
250.328;
249.822;
249.474;
250.379;
249.971;
249.677;
249.84;
250.173;
250.014;
287.862;
347.707;
252.68;
307.632;
114.924;
305.612;
202.046;
226.543;
206.518;
362.815;
134.852;
250.219;
268.191;
275.785;
344.32;
138.522;
256.004;
275.827;
217.562;
310.04;
163.41;
249.856;
249.775;
249.77;
289.443;
255.457;
204.96;
249.767;
249.996;
250.174;
249.85;
249.557;
250.087;
249.652;
249.568;
249.991;
305.636;
267.687;
391.833;
37.5762;
311.804;
233.15;
202.199;
249.465;
250.068;
249.738;
249.808;
250.801;
250.037;
292.147;
206.817;
250.031;
250.009;
250.181;
249.86;
249.888;
249.717;
250.216;
248.768;
250.205;
306.274;
308.306;
180.07;
205.054;
290.69;
318.133;
206.986;
231.382;
201.767;
250.446;
249.791;
249.878;
354.27;
204.341;
200.768;
314.288;
215.95;
251.498;
287.785;
170.404;
322.674;
265.896;
200.372;
299.258;
189.706;
400.727;
100.45;
307.937;
201.667;
303.982;
190.014;
216.752;
315.517;
205.719;
228.773;
250.052;
283.607;
215.524;
352.009;
198.851;
219.604;
229.533;
249.701;
250.446;
249.87;
250.104;
249.646;
249.964;
